coder,0,0,2111
coder,0,0,2216
coder,0,0,2265
coder,16480,0,2294
coder,0,0,2294
coder,16769,0,3008
coder,0,0,2444
coder,0,0,2446
designer,0,0,1399
coder,12570,0,4879
coder,0,0,2140
coder,0,0,2271
coder,0,0,2271
coder,0,0,2234
coder,16484,0,2234
coder,0,0,2234
coder,0,0,2234
designer,0,0,1399
coder,0,0,2135
coder,16319,0,2249
coder,0,0,2358
coder,0,0,2387
coder,0,0,1770
coder,15943,0,1845
coder,0,0,1800
coder,0,0,1681
designer,4593,0,1399
coder,12444,0,2125
coder,0,0,2218
coder,15291,0,2141
coder,0,0,2200
coder,16511,0,2208
coder,0,0,2185
coder,0,0,2185
coder,0,0,2170
designer,0,0,2421
coder,0,0,3736
coder,0,0,1269
coder,16373,0,1326
coder,0,0,1326
coder,0,0,1334
coder,0,0,1334
coder,0,0,1334
coder,0,0,1349
designer,0,0,2242
coder,0,0,2978
coder,0,0,3013
profiler,5469,0,460
sketch,0,0,2114
feature_extractor,0,0,406
designer,0,0,2324
coder,0,0,2990
coder,0,0,3042
designer,4956,6527,7553
coder,10329,10620,14295
coder,14851,2539,6638
coder,15252,4651,8457
coder,14942,4616,8076
designer,3461,4168,4790
feature_extractor,3106,2288,2593
coder,8483,4255,5637
coder,10853,1332,2729
profiler,3036,2498,2632
coder,8483,2496,5373
designer,3461,10809,11381
feature_extractor,3073,2773,3090
coder,8449,4829,6454
coder,8449,6685,8187
coder,8449,8273,10252
coder,10993,2259,3920
profiler,3137,2281,2413
profiler,3285,2887,3010
profiler,3606,5537,5680
designer,3461,6108,6756
feature_extractor,3149,3671,3970
coder,8526,3249,5187
coder,8526,4497,5963
coder,8526,9427,10598
profiler,2822,2567,2689
coder,11209,3901,5370
profiler,3116,2663,2799
profiler,3556,16384,16384
sketch,4563,1356,1976
sketch,5305,2070,2652
sketch,4865,4061,4596
feature_extractor,3583,2998,3292
feature_extractor,3885,1795,2122
feature_extractor,4325,2786,3083
